Id,Source,ObjectType,ObjectName,ObjectLabel,TopicNumber,ObjectParent,DefinedBy,TaxonomyNetwork
26,ASC,[TOPIC],PayablesAccruals,Payables Accruals (Liabilities),405,FinancialStatementAccounts,https://asc.fasb.org/extlink&oid=6877327&loc=d3e13212-122682,http://fasb.org/us-gaap/role/disclosure/PayablesAndAccruals
27,ASC,[TOPIC],AssetRetirementObligations,Asset Retirement Obligations and Environmental Obligations,410,FinancialStatementAccounts,https://asc.fasb.org/topic&trid=2175650,http://fasb.org/us-gaap/role/disclosure/AssetRetirementObligations
28,ASC,[TOPIC],ExitOrDisposalCostObligations,Exit or Disposal Cost Obligations,420.1,FinancialStatementAccounts,https://asc.fasb.org/topic&trid=2175745,http://fasb.org/us-gaap/role/disclosure/ExitOrDisposalCostObligations
29,ASC,[TOPIC],DeferredRevenue,Deferred Revenue,430,FinancialStatementAccounts,https://asc.fasb.org/topic&trid=2122452,http://fasb.org/us-gaap/role/disclosure/DeferredRevenue
30,ASC,[TOPIC],Commitments,Commitments,440,FinancialStatementAccounts,https://asc.fasb.org/topic&trid=2144648,http://fasb.org/us-gaap/role/disclosure/CommitmentAndContingencies
31,ASC,[TOPIC],Contingencies,Contingencies,450,FinancialStatementAccounts,https://asc.fasb.org/topic&trid=2127136,http://fasb.org/us-gaap/role/disclosure/CommitmentAndContingencies
32,ASC,[TOPIC],Guarantees,Guarantees,460,FinancialStatementAccounts,https://asc.fasb.org/topic&trid=2155896,http://fasb.org/us-gaap/role/disclosure/Guarantees
33,ASC,[TOPIC],Debt,Debt,470,FinancialStatementAccounts,https://asc.fasb.org/topic&trid=2208564,http://fasb.org/us-gaap/role/disclosure/Debt
34,ASC,[TOPIC],DistinguishingLiabilitiesFromEquity,Temporary Equity (Distinguishing Liabilities from Equity),480,FinancialStatementAccounts,https://asc.fasb.org/topic&trid=2175786,http://fasb.org/us-gaap/role/disclosure/OtherLiabilities
35,ASC,[TOPIC],Equity,Equity,505,FinancialStatementAccounts,https://asc.fasb.org/topic&trid=2208762,http://fasb.org/us-gaap/role/disclosure/Equity
36,ASC,[TOPIC],RevenueRecognition,Revenue Recognition,605,FinancialStatementAccounts,https://asc.fasb.org/topic&trid=2197195,None
37,ASC,[TOPIC],CostOfSalesServices,Cost of Sales and Services,705,FinancialStatementAccounts,https://asc.fasb.org/topic&trid=2122478,None
38,ASC,[TOPIC],CompensationRelatedCostsGeneral,Compensation-General,710,FinancialStatementAccounts,https://asc.fasb.org/topic&trid=2127225,http://fasb.org/us-gaap/role/disclosure/CompensationRelatedCostsGeneral
39,ASC,[TOPIC],PostEmploymentButPreRetirementCosts,Compensation-Nonretirement Postemployment Benefits,712,FinancialStatementAccounts,https://asc.fasb.org/topic&trid=2197446,http://fasb.org/us-gaap/role/disclosure/CompensationRelatedCostsRetirementBenefits
40,ASC,[TOPIC],PostretirementPensionCosts,Compensation-Retirement Benefits,715,FinancialStatementAccounts,https://asc.fasb.org/topic&trid=2235017,http://fasb.org/us-gaap/role/disclosure/CompensationRelatedCostsPostemploymentBenefits
41,ASC,[TOPIC],StockCompensation,Compensation-Stock Compensation,718,FinancialStatementAccounts,https://asc.fasb.org/topic&trid=2228938,http://fasb.org/us-gaap/role/disclosure/CompensationRelatedCostsStockCompensation
42,ASC,[TOPIC],OtherExpenses,Other Expenses,720,FinancialStatementAccounts,https://asc.fasb.org/topic&trid=2122503,http://fasb.org/us-gaap/role/disclosure/OtherExpenses
43,ASC,[TOPIC],ResearchAndDevelopmentCosts,Research and Development,730,FinancialStatementAccounts,https://asc.fasb.org/topic&trid=2127265,http://fasb.org/us-gaap/role/disclosure/ResearchAndDevelopment
44,ASC,[TOPIC],IncomeTaxes,Income Taxes,740,FinancialStatementAccounts,https://asc.fasb.org/topic&trid=2144680,http://fasb.org/us-gaap/role/disclosure/IncomeTaxes
45,ASC,[Heading],BasisOfFinancialStatementPresentation,Basis of Financial Statement Presentation,235,FinancialReport,https://asc.fasb.org/topic&trid=2122149,None
46,ASC,[TOPIC],AccountingChanges,Accounting Changes,250,BasisOfReporting,https://asc.fasb.org/glossary&letter=A,http://fasb.org/us-gaap/role/disclosure/AccountingChangesAndErrorCorrections
47,ASC,[TOPIC],PriorPeriodAdjustments,Error Corrections (Prior Period Adjustments),250,BasisOfReporting,https://asc.fasb.org/topic&trid=2122394,None
48,ASC,[TOPIC],ChangingPricesHyperinflation,Changing Prices (Hyperinflation),253,BasisOfReporting,https://asc.fasb.org/topic&trid=2175615,None
49,ASC,[TOPIC],EarningsPerShare,Earnings Per Share,260,BasisOfReporting,https://asc.fasb.org/topic&trid=2144383,http://fasb.org/us-gaap/role/disclosure/EarningsPerShare
50,ASC,[TOPIC],InterimReporting,Interim Reporting,270,BasisOfReporting,https://asc.fasb.org/topic&trid=2126967,http://fasb.org/us-gaap/role/disclosure/InterimReporting
51,ASC,[TOPIC],RisksUncertainties,Risks Uncertainties,275,BasisOfReporting,https://asc.fasb.org/topic&trid=2134479,http://fasb.org/us-gaap/role/disclosure/RisksAndUncertainties
52,ASC,[TOPIC],SegmentReporting,Segment Reporting,280,BasisOfReporting,https://asc.fasb.org/topic&trid=2134510,http://fasb.org/us-gaap/role/disclosure/SegmentReporting
53,ASC,[TOPIC],UseOfEstimates,Use of Estimates,235,BasisOfReporting,https://asc.fasb.org/extlink&oid=6927468&loc=d3e6003-108592,None
54,ASC,[TOPIC],SpecializedActivities,Specialized Activities,900,BasisOfReporting,https://asc.fasb.org/,None
